Nombre Peaje,Latitud,Longitud,Operador,Tipo Operador,Ubicacion,Sector,Tarifa Categoria I,Tarifa Categoria II,Tarifa Categoria III,Territorial,Telefono Peaje,Telefono Grua,Ficha Oficial INVIAS
ZARAGOZA,7.63328800000005,-74.8947039999999,No definido,Por definir,Antioquia - Zaragoza,Autopista Conexión Norte,$15.900,$19.700,$19.700,28,,,
CERRITOS II,4.79340820900006,-75.859962863,Concesionaria de Occidente,Concesión,Vía Andalucía – Y de Cerritos PR2506 Km 86,La Victoria - Cartago - Cerritos,$15.200,$17.300,$42.900,21,3128509233 - 3113042754 - 3132158,,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
TORO,4.66542497700004,-76.049532448,INVIAS,INVIAS,Mediacanoa - Ansermanuevo,Roldanillo - La Virginia,$12.200,$13.000,$27.900,25,3102454238,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3872.pdf
CANO,1.42545608200004,-77.284452436,INVIAS,INVIAS,San Juan de Pasto - Cano,Pasto - Mojarras,$14.800,$15.800,$32.300,17,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3862.pdf
EL BORDO,2.18894946000006,-76.851164685,INVIAS,INVIAS,Kilometro 60+800 Vía Panamericana Mojarras – Popayan,Mojarras - Popayán,$12.400,$13.900,$28.400,8,3112363938 / 2800138,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3975.pdf
LA PARADA,7.86745647200007,-72.484164639,INVIAS,INVIAS,Km. 2 de la Autopista Internacional que comunica a Cúcuta con San Antonio,Cúcuta - Puente Internacional Simón Bolívar,$2.700,$2.700,$2.700,18,3104946611,320 345 2139,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
PLATANAL,8.23123833000005,-73.4985723359999,INVIAS,INVIAS,Km 14 Vía Aguasclaras – Ocaña,Aguaclara - Río de Oro,$11.800,$13.000,$27.400,26,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3915.pdf
RÍO BLANCO,7.63281900600003,-73.263641967,INVIAS,INVIAS,Rio Negro – San Alberto,Río Negro - San Alberto,$12.400,$13.900,$28.400,22,3124570764,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3823.pdf
LOS LLANOS,6.83050248100005,-75.468140396,INVIAS,INVIAS,KM 03+450 RUTA 2511 - vía Medellin - La Costa,Los Llanos - Tarazá,$12.400,$13.900,$28.400,1,3102462831,(322 384 5814) este número también sirve para solicitar ambulancia,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3848.pdf
TARAZÁ,7.58927623200003,-75.393524024,INVIAS,INVIAS,KM 01+200 RUTA 2512 - Via Medellin - La Costa,Tarazá - Caucasia,$12.400,$13.900,$28.400,1,3102463888,(322 384 5814) este número también sirve para solicitar ambulancia,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3838.pdf
CARIMAGUA,8.60485611200005,-75.484821096,INVIAS,INVIAS,Vía Planeta Rica - Sincelejo Km 26 + 300,Planeta Rica - La Ye,$17.700,$25.300,$25.300,11,3102467110 - 3205221762,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3821.pdf
RINCÓN HONDO,9.43103200100006,-73.473552148,INVIAS,INVIAS,Tramo que cubre:Vía Rincón Hondo - Agustín Codazzi,San Roque - La Paz,$14.000,$14.800,$16.000,9,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3964.pdf
SAN DIEGO,10.1217258250001,-73.238637775,INVIAS,INVIAS,Tramo que cubre:Vía Aguztín Codazzi - San Diego,San Roque - La Paz,$7.000,$7.600,$8.200,9,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3889.pdf
SAN JUAN,10.8000159330001,-72.9755403249999,INVIAS,INVIAS,Ubicación: 61+400Tramo que cubre:Vía La Paz – Distracción,Río Pereira - Buenavista,,$14.000,$28.500,13,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3981.pdf
SUPIA,5.54052600000006,-75.570252,No definido,Por definir,,Autopista Conexión Pacífico 3,$10.500,$11.400,$24.200,28,,,
GUAICO,5.10591700000003,-75.760278,No definido,Por definir,,,$21.000,$26.100,$26.100,28,,,
ARMERO,4.95835200000005,-74.9144259999999,No definido,Por definir,Vía San Gil - Bucaramanga Km 53+730 Jurisdicción Municipio de Piedecuesta,San Gil - Bucaramanga,$13.700,$14.800,$15.200,28,,,
IRRA,5.25773200000003,-75.657461,No definido,Por definir,,,$14.600,$18.000,$18.000,28,,,
GALAPA 02,10.8821750000001,-74.8370609899999,No definido,Por definir,,,$8.300,$12.300,$9.000,28,,,
COCORA,4.40574700000008,-75.2855,No definido,Por definir,,,$14.200,$15.500,$35.900,28,,,
LA LIZAMA,7.08351700000003,-73.717392,Ruta del Cacao,Concesión,La Lizama,Barrancabermeja - La Lizama ubicación km 4,$16.700,$20.400,$25.400,22,,3103910901 - (57) 685 4666,
CIRILO,8.21002779000003,-76.744136536,Concesión Autopistas Urabá,Concesión,Vía turbo - Necoclí,Vía Turbo - Necoclí,$12.100,$13.500,$13.500,1,3105553979 // #979,3105553979 // #979,
JUAN MINA,10.9343822760001,-74.898251187,Concesión Costera - Barranquilla - Cartagena,Concesión,Vía La Cordialidad - Galapa,Vía Juan Mina - Las Hermanas,$8.300,$12.300,$9.000,2,018000977330,311 4803629,
SOPÓ,4.84165600000006,-73.9360839999999,PERIMETRAL ORIENTAL DE BOGOTÁ S.A.S,Concesión,El Salitre - Sopó,Meusa,$12.300,$19.200,$32.200,12,313 4609939,310 2399451 - #765,
BRISAS,5.45854500000007,-74.6397259999999,Concesión Alto Magdalena,Concesión,Vía Mediacanoa - Ansermanuevo Km 13,Mediacanoa - Ansermanuevo,$6.400,$20.500,$28.000,28,3219738507,3219738507,
