id,nombre,nombre_display,lat,lon,ubicacion,sector,sentido,pr,distancia_pr_m,telefono_grua,telefono_peaje,url_ficha,tarifa_cat1,operador,operador_tipo,codigo_peaje,codigo_tramo,territorial
cisneros,CISNEROS,CISNEROS,6.53633000000002,-75.074777,KM 03+000 RUTA 6206. Via Cisneros - Puerto Berrio,Cisneros - Alto de Dolores,Aplica en ambos sentidos. Tramo que cubre: Cisneros - Antes de la entrada a la vía secundaria hacia,1,240,311 739 5570 – 018000413724 – (4) 8603102,321 812 2264,http://hermes.invias.gov.co/carreteras/images/peajes/cisneros.jpg,18000,Concesión Vías del Nus – VINUS S.A.S,Concesión,46,6206,1
pavas-trinidad-i,PAVAS (TRINIDAD I),PAVAS (TRINIDAD I),5.02706200000006,-75.587418,Club Campestre – La Trinidad Km. 1 + 200,Club Campestre - La Trinidad,Ambos sentidos de circulación,1,211,3138176567 #850,(6) 3282720,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,14600,CONCESIÓN AUTOPISTAS DEL CAFE,Concesión,44,29CL03-1,5
san-pedro-barranca-de-upia-monterrey,SAN PEDRO,SAN PEDRO (Barranca de Upía - Monterrey),4.67860900000005,-72.943748,Villanueva - Monterrey Km.15+000,Barranca de Upía - Monterrey,Bidireccional,0,0,3178942293 - 018000180818,3168341260,http://hermes.invias.gov.co/carreteras/images/peajes/san_pedro.jpg,10800,Concesión Vial del Oriente - COVIORIENTE S.A.S,Concesión,122,6511,7
puerto-berrio,PUERTO BERRÍO,PUERTO BERRÍO,6.49666200000007,-74.501381,Vía Alto de Dolores - Puerto Berrío,Cisneros - Puerto Berrío (Incluye el Puente sobre el Río Magdalena),Aplica en ambos sentido de circulación,85,295,0348326778,3183729221,http://hermes.invias.gov.co/carreteras/images/peajes/puerto_berrio.jpg,10900,Concesión Autopistas del Río Magdalena,Concesión,115,6206,1
andes,ANDES,ANDES,4.83000300000003,-74.033081,Sector Bogotá (calle 236)-Briceño,Bogotá-La Caro-Tunja,Sur Norte Aplica Únicamente saliendo de Bogotá,2,723,676 06 52,6760652 - 6762948 3125194023 – 3125196546,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,11100,CONCESIÓN ACCENORTE,Concesión,79,5501,12
calamar,CALAMAR,CALAMAR,10.208106,-74.945015,Tramo que cubre:Vía Aguztín Codazzi - San Diego,San Roque - La Paz,Ambos sentidos de circulación,131,39,3162954845 - #270 Claro,3162954845,http://hermes.invias.gov.co/carreteras/images/peajes/calamar.jpg,16300,Concesión Montes de Maria,Concesión,33,2515,2
supia,SUPÍA,SUPÍA,5.39159787600005,-75.599995129,Vía La Felisa – La Pintada,La Felisa - La Pintada,Ambos sentidos de circulación,63,434,LINEA GRATUITA: 018000423780 LINEA CELULAR: 3219738470,3219738470,http://hermes.invias.gov.co/carreteras/images/peajes/supia.jpg,16100,Concesión Pacífico Tres,Concesión,20,2508,5
el-pata,EL PATÁ,EL PATÁ,3.39378700000003,-75.2037579999999,Vía Neiva – Castilla Km 54+400 Jurisdicción de Aipe,Neiva - Natagaima,Aplica en ambos sentidos de circulación,53,376,667 10 30,3153340727 – 3174340907 - 3502621485,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,15700,Concesión Autovía Neiva – Girardot,Concesión,67,4506,14
la-apartada,LA APARTADA,LA APARTADA,8.03150800000003,-75.30281,Vía Caucasia – Planeta Rica Km 12,Caucasia - Planeta Rica,Sur – Norte,11,831,3216177100,3102467118,http://hermes.invias.gov.co/carreteras/images/peajes/la_apartada.jpg,14000,Concesión Ruta al Mar,Concesión,28,2513,11
siberia,SIBERIA,SIBERIA,4.78040200000004,-74.185028,Bogotá (El Cortijo) – Siberia – La Punta – El Vino – Villeta,Villeta - Bogotá,Ambos sentidos de circulación,135,913,5939260,5939260 – 3185577768 – 3102613190 - 3002149460,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,13800,CONCESIÓN SABANA DE OCCIDENTE,Concesión,92,5008,12
